識別情報,団体コード,団体名,施設_名称,概要,施設_電話番号,施設_メールアドレス,施設_URL,施設_住所_表記,施設_緯度,施設_経度,施設_種別,サービス_対象［利用可能日齢］,施設_収容人数［総定員］人数,施設_保育開始時間,施設_保育終了時間,日時備考,設置者,一時預かりの有無,自由記述欄,施設_画像,施設_画像_ライセンス,施設_画像_画像テキスト
1,112275,朝霞市,滝の根保育園,,048-463-5503,,,朝霞市溝沼2丁目10-24,35.803075,139.589604,民間保育所,2ケ月〜5歳児,150,07:00:00,19:30:00,土曜日は19時まで。日曜閉園,,,,,,
2,112275,朝霞市,本町保育園,,048-464-3750,,,朝霞市本町1丁目20-4,35.801529,139.596945,公立保育所,1歳児〜5歳児,90,07:00:00,19:00:00,日曜閉園,,,,,,
3,112275,朝霞市,あさかたんぽぽ保育園（分園）,,048-487-8545,,,朝霞市本町2丁目10-4,35.797932,139.597991,民間保育所,1歳児〜5歳児,30,07:00:00,19:00:00,日曜閉園,,,,,,
4,112275,朝霞市,さわらび保育園,,048-461-5200,,,朝霞市本町1丁目8-26,35.798009,139.593955,民間保育所,2ケ月〜5歳児,40,07:00:00,19:00:00,日曜閉園,,,,,,
5,112275,朝霞市,栄町保育園,,048-465-3811,,,朝霞市栄町1丁目5-43,35.791569,139.600627,公立保育所,1歳児〜5歳児,77,07:00:00,19:00:00,日曜閉園,,,,,,
6,112275,朝霞市,あさかたんぽぽ保育園（本園）,,048-467-5191,,,朝霞市栄町5丁目1-30,35.790018,139.596835,民間保育所,2ヶ月〜5歳児,30,07:00:00,19:00:00,日曜閉園,,,,,,
7,112275,朝霞市,朝霞ひだまりの森保育園,,048-423-4492,,,朝霞市栄町4丁目4-8,35.786629,139.598794,民間保育所,2ヶ月〜5歳児,50,07:00:00,19:00:00,日曜閉園,,,,,,
8,112275,朝霞市,ゆりの木保育園,,048-450-8600,,,朝霞市膝折町1丁目6-29,35.794983,139.584857,民間保育所,2ケ月〜5歳児,45,07:00:00,19:30:00,土曜日は19時まで。日曜閉園,,,,,,
9,112275,朝霞市,いずみばし保育園,,048-487-7223,,,朝霞市大字溝沼863-1,35.802876,139.58352,民間保育所,2ケ月〜5歳児,60,07:00:00,19:00:00,日曜閉園,,,,,,
10,112275,朝霞市,溝沼保育園,,048-463-7165,,,朝霞市溝沼7丁目13-11,35.807822,139.587887,公立保育所,8ケ月〜5歳児,150,07:00:00,19:00:00,日曜閉園,,,,,,
11,112275,朝霞市,さくらんぼ保育室,,048-463-3965,,,朝霞市本町1丁目15-29,35.801236,139.593317,小規模保育事業B型,2ケ月〜2歳児,10,07:00:00,19:00:00,日曜閉園,,,,,,
12,112275,朝霞市,さつき保育園,,048-465-5005,,,朝霞市本町2丁目4-25 1F,35.796234,139.598852,小規模保育事業B型,2ケ月〜2歳児,17,07:00:00,19:00:00,日曜閉園,,,,,,
13,112275,朝霞市,ひざおりしらとり保育室,,048-463-7178,,,朝霞市膝折町4丁目8-43,35.798262,139.581761,小規模保育事業B型,2ケ月〜2歳児,9,07:00:00,19:00:00,日曜閉園,,,,,,
14,112275,朝霞市,メリー★ポピンズkids朝霞ルーム,,048-465-5345,,,朝霞市青葉台1丁目3-15 1F,35.794778,139.596669,民間保育所,2ケ月〜5歳児,50,07:00:00,22:00:00,（日祝）8：00〜20：00,,,,,,
15,112275,朝霞市,保育ルームフェリーチェ朝霞園,,048-461-7747,,,朝霞市本町2丁目21-2 1F,35.799909,139.59821,小規模保育事業B型,2ケ月〜2歳児,18,07:00:00,20:00:00,日曜閉園,,,,,,
